cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
306.0,"R0
ra papcl",Una paloma,Salomao,,,,,,,,,,,,,,,,,
307.0,Gamacho,azfama,mamd,maie,mamai,mais?-,,,,,,,,,,,,,,
308.0,Bairrada,Irral,Bairro de David,,,,,,,,,,,,,,,,,
309.0,FAnDRE A I,"CRIME DO
PADRE AARO
I","CRIME DO
PADRE AMARO",padre Amaro,,,,,,,,,,,,,,,,
310.0,Imagine,Imaginava,Imaginei,Imaginem,Imaginara,Imaginas,imaginav,imaginagcao,imaginaco da rapariga,,,,,,,,,,,
311.0,snr.- Goncalves,Goncalves,,,,,,,,,,,,,,,,,,
312.0,revelagcoes,ambicoes,consolagcoes,plantagcoes,tentagcoes,,,,,,,,,,,,,,,
313.0,jai ca,dize ca,acre ca,dlze ca,,,,,,,,,,,,,,,,
314.0,Ahl,"RU0
Jahlota",Janota,,,,,,,,,,,,,,,,,
315.0,Assungao,Nagaioi,Assungaio,Assungcao,,,,,,,,,,,,,,,,
316.0,Agarrara,Achara,arara,barao,Dobrara,Expirara,,,,,,,,,,,,,,
317.0,Nada,almogeo,caleada,almofada,ma alma,,,,,,,,,,,,,,,
318.0,Conversara,Oonveneao,Convencao,convulsoes,,,,,,,,,,,,,,,,
319.0,controvrsia,contaeto,Alchntara,contarl,Conto,Contar,Montara,,,,,,,,,,,,,
320.0,Legiao de Honra destruido.l,regiao,Egipto,Legiao,.'GIAE,,,,,,,,,,,,,,,
321.0,"Santa Joana
de Aveiro",Santa Cecilia,"Ivenco
da Santa Cru",Cc Santa Barbara,Santarm,santa cruz,"Santa-
rem",Santa Ana,Santa Catarina,Santa,,,,,,,,,,
322.0,Pego,Velo-lhe,Devo-lhe,Pego-lhe,,,,,,,,,,,,,,,,
323.0,Estado,Vista-,Estai,Estamos,Esta-me,Boa besta,Estave,Estar,estado,,,,,,,,,,,
324.0,Inglaterra,aterrado,pe do terragco,terra,serra,Terra-Nova,Terra,terragco,,,,,,,,,,,,
325.0,dlas,Dlas,,,,,,,,,,,,,,,,,,
326.0,Olhava,Bastilha,Covilha,Milhares,Havanesa,Ilhava,Ajoelhava,chocalhava,"L-
xVI",,,,,,,,,,,
327.0,Inulsigao,Viga-,rsIg,DHE,Siga,Diga,,,,,,,,,,,,,,
328.0,saleta,cavalete1,Jalete,ete.,,,,,,,,,,,,,,,,
